PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20171001;00ON;00;Entrea Onderwijs Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;Rooms-Katholiek;32216;8806,47572815534;103
20171001;00ON;01;PI Sch Ubbergen Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;Rooms-Katholiek;32216;9173,63793103448;58
20171001;00ON;02;Paedologisch Instituutschool;6532AL;NIJMEGEN;268;Nijmegen;Gelderland;So;Rooms-Katholiek;32216;6614,38461538462;79
20171001;00OQ;00;Korte Vlietsch voor ZMLK;2324CR;LEIDEN;546;Leiden;Zuid-Holland;So;Algemeen bijzonder;41805;4088,52873563218;87
20171001;00OQ;00;Korte Vlietsch voor ZMLK;2324CR;LEIDEN;546;Leiden;Zuid-Holland;Vso;Algemeen bijzonder;41805;3914,74137931034;58
20171001;00OS;00;St Maartensch;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;Rooms-Katholiek;41331;13013,1428571429;225
20171001;00PQ;00;De Pels;3571KL;UTRECHT;344;Utrecht;Utrecht;So;Openbaar;41400;5795,05555555556;144
20171001;00PQ;00;De Pels;3571KL;UTRECHT;344;Utrecht;Utrecht;Vso;Openbaar;41400;5947,50387596899;129
20171001;00PZ;00;Herman Broerenschool;2612SP;DELFT;503;Delft;Zuid-Holland;Vso;Algemeen bijzonder;38209;4099,36956521739;92
20171001;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;1783;Westland;Zuid-Holland;So;Algemeen bijzonder;38209;6777,51515151515;33
20171001;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;1783;Westland;Zuid-Holland;Vso;Algemeen bijzonder;38209;5476,88311688312;77
